name,full_name,URL,desc.,total_commits,last_commit,commits_2024,stars,fork,forks,lang,size,score,template,archived,disabled,contributors_url,collaborators_url,collaborators,search_term
bleedingedge.ai,bleedingedgeai/bleedingedge.ai,https://github.com/bleedingedgeai/bleedingedge.ai,Bleeding edge is a feed of noteworthy developments in AI and machine learning.,290,2024-01-26T18:41:04Z,1,123,False,13,TypeScript,3962,1.0,False,False,False,https://api.github.com/repos/bleedingedgeai/bleedingedge.ai/contributors,https://api.github.com/repos/bleedingedgeai/bleedingedge.ai/collaborators{/collaborator},2,edge ai
MaximAI_Documentation,analogdevicesinc/MaximAI_Documentation,https://github.com/analogdevicesinc/MaximAI_Documentation,START HERE: Documentation for ADI's MAX78000 and MAX78002 Edge AI devices,111,2024-05-13T16:18:32Z,5,101,False,44,,276610,1.0,False,False,False,https://api.github.com/repos/analogdevicesinc/MaximAI_Documentation/contributors,https://api.github.com/repos/analogdevicesinc/MaximAI_Documentation/collaborators{/collaborator},13,edge ai
AI-Girlfriend-Desktop-Pet,DD-MASTERT/AI-Girlfriend-Desktop-Pet,https://github.com/DD-MASTERT/AI-Girlfriend-Desktop-Pet,AI桌宠2.2（网页端toklen白嫖国产大模型服务器（glm4，kimi，deepseekv2），语音识别，屏幕识别自动发送，live2d 2.0和3.0模型，gpt-sovits语音，coysvoice语音，edge-tts语音（支持多语言音色），本地ollama模型无限制聊天）（主流国产大模型api接口支持）,35,2024-08-17T18:53:32Z,35,98,False,20,Python,9985,1.0,False,False,False,https://api.github.com/repos/DD-MASTERT/AI-Girlfriend-Desktop-Pet/contributors,https://api.github.com/repos/DD-MASTERT/AI-Girlfriend-Desktop-Pet/collaborators{/collaborator},1,edge ai
ai8x-training,analogdevicesinc/ai8x-training,https://github.com/analogdevicesinc/ai8x-training,Model Training for ADI's MAX78000 and MAX78002 Edge AI Devices,243,2025-01-14T00:04:03Z,45,95,False,91,Jupyter Notebook,231469,1.0,False,False,False,https://api.github.com/repos/analogdevicesinc/ai8x-training/contributors,https://api.github.com/repos/analogdevicesinc/ai8x-training/collaborators{/collaborator},13,edge ai
cosdata,cosdata/cosdata,https://github.com/cosdata/cosdata,"Cosdata: A cutting-edge AI data platform for next-gen search pipelines. Features semantic search, knowledge graphs, hybrid capabilities, real-time scalability, and ML integration. Designed for immutability and version control to enhance AI projects. ",596,2025-01-19T15:24:50Z,554,95,False,23,Rust,2041,1.0,False,False,False,https://api.github.com/repos/cosdata/cosdata/contributors,https://api.github.com/repos/cosdata/cosdata/collaborators{/collaborator},15,edge ai
quanta-quest,quanta-quest/quanta-quest,https://github.com/quanta-quest/quanta-quest,"AI-powered universal search for all your personal data, tailored just for you.  Goal:The world's first product with ""edge-side LLMs + consumer data localization"" as its core development direction. ",4,2024-10-15T11:12:15Z,4,95,False,5,TypeScript,2722,1.0,False,False,False,https://api.github.com/repos/quanta-quest/quanta-quest/contributors,https://api.github.com/repos/quanta-quest/quanta-quest/collaborators{/collaborator},1,edge ai
AutoRLAIF,xuyang-sudo/AutoRLAIF,https://github.com/xuyang-sudo/AutoRLAIF,AutoRLAIF  is a cutting-edge framework designed to revolutionize the fine-tuning of large language models through Reinforcement Learning from AI Feedback (RLAIF).,25,2024-10-27T01:03:17Z,25,92,False,9,Python,607,1.0,False,False,False,https://api.github.com/repos/xuyang-sudo/AutoRLAIF/contributors,https://api.github.com/repos/xuyang-sudo/AutoRLAIF/collaborators{/collaborator},1,edge ai
ai-anime-art-generator,enterwiz/ai-anime-art-generator,https://github.com/enterwiz/ai-anime-art-generator,"AI-driven cutting-edge tool for anime arts creation, perfect for beginners to easily create stunning anime art without any prior experience.",15,2024-08-10T02:35:08Z,15,90,False,39,TypeScript,252,1.0,False,False,False,https://api.github.com/repos/enterwiz/ai-anime-art-generator/contributors,https://api.github.com/repos/enterwiz/ai-anime-art-generator/collaborators{/collaborator},1,edge ai
AI-on-the-edge-device-docs,jomjol/AI-on-the-edge-device-docs,https://github.com/jomjol/AI-on-the-edge-device-docs,Github for hosting the documentation for the project: https://github.com/jomjol/AI-on-the-edge-device,401,2025-01-19T01:44:43Z,75,84,False,40,Python,106847,1.0,False,False,False,https://api.github.com/repos/jomjol/AI-on-the-edge-device-docs/contributors,https://api.github.com/repos/jomjol/AI-on-the-edge-device-docs/collaborators{/collaborator},23,edge ai
akeru,AkeruAI/akeru,https://github.com/AkeruAI/akeru,"Akeru is an open source AI platform built on top of the Akeru AI edge network. The network runs as a Bittensor Subnet, providing a transparent, safe and highly available AI capacities.",219,2024-06-23T19:47:24Z,205,84,False,17,TypeScript,16908,1.0,False,True,False,https://api.github.com/repos/AkeruAI/akeru/contributors,https://api.github.com/repos/AkeruAI/akeru/collaborators{/collaborator},9,edge ai
airbitz-core,EdgeApp/airbitz-core,https://github.com/EdgeApp/airbitz-core,"Bitcoin wallet C/C++ API for building cross-platform applications that require user authentication, encryption, backup, and meta-data management. This library alone implements the full functionality of the Airbitz Edge Security platform and bitcoin wallet minus the graphical interface. ",1944,2024-03-25T17:58:50Z,0,82,False,43,C++,4132,1.0,False,False,False,https://api.github.com/repos/EdgeApp/airbitz-core/contributors,https://api.github.com/repos/EdgeApp/airbitz-core/collaborators{/collaborator},10,edge ai
omniscient,RicardoGEsteves/omniscient,https://github.com/RicardoGEsteves/omniscient,"Cutting-edge Full-stack AI Platform delivered as a SaaS (Software as a Service). Built on a robust technology stack, integrated with powerful APIs such as OpenAI and Replicate, offers a seamless experience for code generation, conversation simulation, image creation, music composition, and video generation.",297,2025-01-19T16:07:22Z,209,82,False,19,TypeScript,3539,1.0,False,False,False,https://api.github.com/repos/RicardoGEsteves/omniscient/contributors,https://api.github.com/repos/RicardoGEsteves/omniscient/collaborators{/collaborator},3,edge ai
KAN,Azure/KAN,https://github.com/Azure/KAN,"KubeAI Application Nucleus for edge is a solution accelerator for creating, deploying, and operating environment-aware solutions at scale that use artificial intelligence (AI) at the edge with the control and flexibility of open-source natively on your environment. ",165,2024-05-15T08:00:06Z,80,77,False,22,TypeScript,67854,1.0,False,False,False,https://api.github.com/repos/Azure/KAN/contributors,https://api.github.com/repos/Azure/KAN/collaborators{/collaborator},8,edge ai
edge-slm,deepsense-ai/edge-slm,https://github.com/deepsense-ai/edge-slm,This project is a native implementation of a RAG pipeline for Small Language Models tested on Android devices. The main goal was to fit the whole RAG pipeline into a resource constrained device - ie. smartphone. By design the provided RAG library should be deployable on various platforms.,3,2024-04-12T09:15:09Z,3,72,False,4,C++,4086,1.0,False,False,False,https://api.github.com/repos/deepsense-ai/edge-slm/contributors,https://api.github.com/repos/deepsense-ai/edge-slm/collaborators{/collaborator},1,edge ai
duix.ai,akan/duix.ai,https://github.com/akan/duix.ai,offline 2d digitalhuman demo for edge devices (android/ios/etc.),19,2024-04-30T06:01:02Z,19,70,False,55,,124628,1.0,False,False,False,https://api.github.com/repos/akan/duix.ai/contributors,https://api.github.com/repos/akan/duix.ai/collaborators{/collaborator},1,edge ai
Phi-3MiniSamples,Azure-Samples/Phi-3MiniSamples,https://github.com/Azure-Samples/Phi-3MiniSamples,"Discover how phi3-mini, a new series of models from Microsoft, enables deployment of Large Language Models (LLMs) on edge devices and IoT devices. Learn how to use Semantic Kernel, Ollama/LlamaEdge, and ONNX Runtime to access and infer phi3-mini models, and explore the possibilities of generative AI in various application scenarios",34,2024-07-09T19:46:18Z,34,70,False,18,C++,6414,1.0,False,False,False,https://api.github.com/repos/Azure-Samples/Phi-3MiniSamples/contributors,https://api.github.com/repos/Azure-Samples/Phi-3MiniSamples/collaborators{/collaborator},5,edge ai
AirLine,sair-lab/AirLine,https://github.com/sair-lab/AirLine,AirLine: Efficient Learnable Line Detection with Local Edge Voting (IROS 2023),63,2024-07-30T21:45:45Z,8,69,False,3,Python,224378,1.0,False,False,False,https://api.github.com/repos/sair-lab/AirLine/contributors,https://api.github.com/repos/sair-lab/AirLine/collaborators{/collaborator},2,edge ai
cgra4ml,KastnerRG/cgra4ml,https://github.com/KastnerRG/cgra4ml,An Open Workflow to Build Custom SoCs and run Deep Models at the Edge,1138,2024-11-22T19:46:08Z,129,69,False,10,SystemVerilog,13041,1.0,False,False,False,https://api.github.com/repos/KastnerRG/cgra4ml/contributors,https://api.github.com/repos/KastnerRG/cgra4ml/collaborators{/collaborator},7,edge ai
edge2ai-workshop,asdaraujo/edge2ai-workshop,https://github.com/asdaraujo/edge2ai-workshop,Edge2AI Workshop,582,2025-01-14T07:45:37Z,89,68,False,101,Python,98504,1.0,False,False,False,https://api.github.com/repos/asdaraujo/edge2ai-workshop/contributors,https://api.github.com/repos/asdaraujo/edge2ai-workshop/collaborators{/collaborator},7,edge ai
node-red-contrib-ml,Seeed-Studio/node-red-contrib-ml,https://github.com/Seeed-Studio/node-red-contrib-ml,Get started with AI vision at the edge with no coding experience at all!,23,2025-01-08T09:13:52Z,1,68,False,31,JavaScript,5574,1.0,False,False,False,https://api.github.com/repos/Seeed-Studio/node-red-contrib-ml/contributors,https://api.github.com/repos/Seeed-Studio/node-red-contrib-ml/collaborators{/collaborator},5,edge ai
edgerunner,neuralize-ai/edgerunner,https://github.com/neuralize-ai/edgerunner,Simplified AI runtime integration for mobile app development,355,2024-11-29T13:52:56Z,355,65,False,4,C++,34787,1.0,False,False,False,https://api.github.com/repos/neuralize-ai/edgerunner/contributors,https://api.github.com/repos/neuralize-ai/edgerunner/collaborators{/collaborator},1,edge ai
Awesome-EdgeAI,wangxb96/Awesome-EdgeAI,https://github.com/wangxb96/Awesome-EdgeAI,"Resources of our survey paper ""Optimizing Edge AI: A Comprehensive Survey on Data, Model, and System Strategies""",125,2025-01-08T10:12:56Z,7,63,False,7,,3813,1.0,False,False,False,https://api.github.com/repos/wangxb96/Awesome-EdgeAI/contributors,https://api.github.com/repos/wangxb96/Awesome-EdgeAI/collaborators{/collaborator},1,edge ai
Top-10-AI-Projects,Mouneshgouda/Top-10-AI-Projects,https://github.com/Mouneshgouda/Top-10-AI-Projects,"This repository curates a collection of the top 10 artificial intelligence projects from various domains. From cutting-edge research to practical applications, these projects showcase the latest advancements in AI technology.",19,2024-03-15T10:12:48Z,18,60,False,47,Jupyter Notebook,12836,1.0,False,False,False,https://api.github.com/repos/Mouneshgouda/Top-10-AI-Projects/contributors,https://api.github.com/repos/Mouneshgouda/Top-10-AI-Projects/collaborators{/collaborator},1,edge ai
ai8x-synthesis,analogdevicesinc/ai8x-synthesis,https://github.com/analogdevicesinc/ai8x-synthesis,Quantization and Synthesis (Device Specific Code Generation) for ADI's MAX78000 and MAX78002 Edge AI Devices,305,2024-12-06T14:24:53Z,35,59,False,60,Python,677035,1.0,False,False,False,https://api.github.com/repos/analogdevicesinc/ai8x-synthesis/contributors,https://api.github.com/repos/analogdevicesinc/ai8x-synthesis/collaborators{/collaborator},14,edge ai
litert-samples,google-ai-edge/litert-samples,https://github.com/google-ai-edge/litert-samples,,209,2025-01-07T20:20:25Z,207,59,False,17,,9531,1.0,False,False,False,https://api.github.com/repos/google-ai-edge/litert-samples/contributors,https://api.github.com/repos/google-ai-edge/litert-samples/collaborators{/collaborator},7,edge ai
GroqApiLibrary,jgravelle/GroqApiLibrary,https://github.com/jgravelle/GroqApiLibrary,"This powerful and flexible library provides a seamless interface to interact with the cutting-edge Groq AI API. Designed for .NET 8 and above, our library offers a range of features to enhance your AI-powered applications.",41,2025-01-18T00:47:35Z,39,57,False,14,C#,122,1.0,False,False,False,https://api.github.com/repos/jgravelle/GroqApiLibrary/contributors,https://api.github.com/repos/jgravelle/GroqApiLibrary/collaborators{/collaborator},2,edge ai
agentic-voice,ruvnet/agentic-voice,https://github.com/ruvnet/agentic-voice,"Agentic Chat App is an advanced AI-powered chat application designed for seamless real-time communication and intelligent responses. Built with Next.js, OpenAI, and Exa API, it leverages cutting-edge technologies to enhance user interactions and provide contextual, relevant information dynamically.",20,2024-07-15T15:26:01Z,20,57,False,20,TypeScript,6623,1.0,False,False,False,https://api.github.com/repos/ruvnet/agentic-voice/contributors,https://api.github.com/repos/ruvnet/agentic-voice/collaborators{/collaborator},1,edge ai
TabMark-Bookmark-New-Tab,Alanrk/TabMark-Bookmark-New-Tab,https://github.com/Alanrk/TabMark-Bookmark-New-Tab,TabMark是一款基于书签的新标签页插件，将你的收藏夹变成新标签页，让你收藏的书签一目了然、整洁高效，快速直达你最需要的网站和资源。搭配智能 AI 搜索，更快找到你想要的答案。支持 Chrome 和 Edge。,9,2025-01-15T06:42:43Z,7,57,False,6,JavaScript,6744,1.0,False,False,False,https://api.github.com/repos/Alanrk/TabMark-Bookmark-New-Tab/contributors,https://api.github.com/repos/Alanrk/TabMark-Bookmark-New-Tab/collaborators{/collaborator},1,edge ai
Ernie-AI-Windows,Azerty01-bit/Ernie-AI-Windows,https://github.com/Azerty01-bit/Ernie-AI-Windows,"Ernie-AI-Windows is an innovative artificial intelligence software tailored specifically for Windows operating systems, delivering cutting-edge AI capabilities for enhanced user experience and productivity. Through advanced algorithms and intuitive interfaces, Ernie-AI-Windows streamlines tasks and offers personalized recommendations to optimize wo",1,2024-04-05T15:23:33Z,1,54,False,8,,1,1.0,False,False,False,https://api.github.com/repos/Azerty01-bit/Ernie-AI-Windows/contributors,https://api.github.com/repos/Azerty01-bit/Ernie-AI-Windows/collaborators{/collaborator},1,edge ai
piccolo,sensiml/piccolo,https://github.com/sensiml/piccolo,SensiML's open-source AutoML solution for Edge AI model development,77,2025-01-17T01:48:25Z,54,53,False,7,Python,96464,1.0,False,False,False,https://api.github.com/repos/sensiml/piccolo/contributors,https://api.github.com/repos/sensiml/piccolo/collaborators{/collaborator},5,edge ai
amazon-sagemaker-edge-defect-detection-computer-vision,aws-samples/amazon-sagemaker-edge-defect-detection-computer-vision,https://github.com/aws-samples/amazon-sagemaker-edge-defect-detection-computer-vision,Workshop showcasing how to run defect detection using computer vision at the edge with Amazon SageMaker,50,2024-11-04T19:16:10Z,7,50,False,20,Python,2777,1.0,False,False,False,https://api.github.com/repos/aws-samples/amazon-sagemaker-edge-defect-detection-computer-vision/contributors,https://api.github.com/repos/aws-samples/amazon-sagemaker-edge-defect-detection-computer-vision/collaborators{/collaborator},4,edge ai
Seeed_Studio_Courses,Seeed-Studio/Seeed_Studio_Courses,https://github.com/Seeed-Studio/Seeed_Studio_Courses,Edge AI 101 Course using Nvidia Jetson,9,2025-01-14T02:59:26Z,5,49,False,19,C++,57473,1.0,False,False,False,https://api.github.com/repos/Seeed-Studio/Seeed_Studio_Courses/contributors,https://api.github.com/repos/Seeed-Studio/Seeed_Studio_Courses/collaborators{/collaborator},4,edge ai
tokay-lite-sdk,maxlab-io/tokay-lite-sdk,https://github.com/maxlab-io/tokay-lite-sdk,Tokay Lite: Low Power Edge AI Camera SDK,117,2024-09-29T11:43:21Z,6,49,False,7,C++,829,1.0,False,False,False,https://api.github.com/repos/maxlab-io/tokay-lite-sdk/contributors,https://api.github.com/repos/maxlab-io/tokay-lite-sdk/collaborators{/collaborator},2,edge ai
aitour-exploring-cutting-edge-models,microsoft/aitour-exploring-cutting-edge-models,https://github.com/microsoft/aitour-exploring-cutting-edge-models,,201,2024-12-16T05:36:09Z,201,45,False,15,C++,56660,1.0,False,False,False,https://api.github.com/repos/microsoft/aitour-exploring-cutting-edge-models/contributors,https://api.github.com/repos/microsoft/aitour-exploring-cutting-edge-models/collaborators{/collaborator},7,edge ai
segger_dev,EliHei2/segger_dev,https://github.com/EliHei2/segger_dev,"a cutting-edge cell segmentation model specifically designed for single-molecule resolved spatial omics datasets. It addresses the challenge of accurately segmenting individual cells in complex imaging datasets, leveraging a unique approach based on graph neural networks (GNNs).",375,2025-01-13T10:40:16Z,354,44,False,4,Python,5018,1.0,False,False,False,https://api.github.com/repos/EliHei2/segger_dev/contributors,https://api.github.com/repos/EliHei2/segger_dev/collaborators{/collaborator},7,edge ai
The-AiEdge-Code-Examples,damienbenveniste/The-AiEdge-Code-Examples,https://github.com/damienbenveniste/The-AiEdge-Code-Examples,,19,2024-11-15T19:19:28Z,19,40,False,15,Jupyter Notebook,2014,1.0,False,False,False,https://api.github.com/repos/damienbenveniste/The-AiEdge-Code-Examples/contributors,https://api.github.com/repos/damienbenveniste/The-AiEdge-Code-Examples/collaborators{/collaborator},1,edge ai
